Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2017/11/16, 14:52:26, 53.189590, -4.222314, 2.65,  252.00, 355, -2, 0.00, 1
2017/11/16, 14:52:27, 53.189579, -4.222315, 2.15,  36.00, 355, 0, 1.22, 1
2017/11/16, 14:52:28, 53.189571, -4.222317, 1.56,  432.00, 355, 0, 0.90, 1
2017/11/16, 14:52:29, 53.189564, -4.222319, 0.81,  72.00, 355, 0, 0.79, 1
2017/11/16, 14:52:30, 53.189560, -4.222319, 0.40,  468.00, 355, 0, 0.44, 1
2017/11/16, 14:52:31, 53.189552, -4.222319, -0.19,  576.00, 355, 0, 0.89, 
2017/11/16, 14:52:32, 53.189556, -4.222308, 0.36,  900.00, 355, 0, 0.86, 
2017/11/16, 14:52:33, 53.189560, -4.222299, 0.75,  1836.00, 355, 0, 0.75, 
2017/11/16, 14:52:34, 53.189564, -4.222288, 1.07,  2376.00, 32, 0, 0.86, 
2017/11/16, 14:52:35, 53.189571, -4.222278, 0.91,  3744.00, 45, 0, 1.02, 
2017/11/16, 14:52:36, 53.189579, -4.222270, 0.59,  4428.00, 41, 0, 1.04, 
2017/11/16, 14:52:37, 53.189583, -4.222261, 0.28,  3312.00, 44, 0, 0.75, 
2017/11/16, 14:52:38, 53.189590, -4.222253, 0.46,  3024.00, 48, 0, 0.94, 1
2017/11/16, 14:52:39, 53.189598, -4.222244, 1.16,  1908.00, 48, 0, 1.07, 1
2017/11/16, 14:52:40, 53.189606, -4.222238, 1.77,  1764.00, 48, 0, 0.98, 1
2017/11/16, 14:52:41, 53.189613, -4.222220, 2.77,  2916.00, 52, 0, 1.43, 1
2017/11/16, 14:52:42, 53.189625, -4.222190, 3.75,  3636.00, 55, 0, 2.40, 1
2017/11/16, 14:52:43, 53.189640, -4.222145, 5.13,  4536.00, 59, 0, 3.43, 1
2017/11/16, 14:52:44, 53.189667, -4.222083, 6.93,  6264.00, 65, 0, 5.11, 1
2017/11/16, 14:52:45, 53.189709, -4.221996, 10.82,  7740.00, 66, 0, 7.44, 1
2017/11/16, 14:52:46, 53.189754, -4.221891, 14.32,  9756.00, 68, 0, 8.60, 1
2017/11/16, 14:52:47, 53.189808, -4.221768, 17.26,  12564.00, 69, 0, 10.16, 1
2017/11/16, 14:52:48, 53.189899, -4.221579, 18.40,  17676.00, 66, 0, 16.15, 1
2017/11/16, 14:52:49, 53.189991, -4.221377, 18.13,  23400.00, 64, 0, 16.90, 1
2017/11/16, 14:52:50, 53.190083, -4.221161, 18.16,  29340.00, 62, 0, 17.66, 1
2017/11/16, 14:52:51, 53.190186, -4.220980, 18.02,  32076.00, 57, 0, 16.63, 1
2017/11/16, 14:52:52, 53.190308, -4.220785, 17.39,  38628.00, 52, 0, 18.78, 1
2017/11/16, 14:52:53, 53.190430, -4.220608, 16.77,  41364.00, 47, 0, 17.97, 1
2017/11/16, 14:52:54, 53.190556, -4.220491, 17.60,  41364.00, 42, 0, 16.03, 1
2017/11/16, 14:52:55, 53.190681, -4.220410, 17.82,  41184.00, 37, 0, 14.91, 1
2017/11/16, 14:52:56, 53.190815, -4.220382, 18.01,  41940.00, 31, 0, 15.02, 1
2017/11/16, 14:52:57, 53.190956, -4.220433, 18.44,  42840.00, 20, 0, 16.04, 1
2017/11/16, 14:52:58, 53.191082, -4.220550, 19.07,  42264.00, 0, 0, 16.03, 1
2017/11/16, 14:52:59, 53.191193, -4.220606, 19.90,  41364.00, 351, 0, 12.89, 1
2017/11/16, 14:53:00, 53.191315, -4.220653, 20.60,  42624.00, 354, 0, 13.92, 1
2017/11/16, 14:53:01, 53.191437, -4.220673, 21.31,  43596.00, 356, 0, 13.63, 1
2017/11/16, 14:53:02, 53.191570, -4.220665, 22.17,  46152.00, 0, 0, 14.80, 1
2017/11/16, 14:53:03, 53.191757, -4.220723, 26.89,  51012.00, 1, 0, 21.15, 1
2017/11/16, 14:53:04, 53.191914, -4.220678, 28.62,  53532.00, 5, 0, 17.71, 1
2017/11/16, 14:53:05, 53.192024, -4.220562, 29.88,  52128.00, 11, 0, 14.47, 1
2017/11/16, 14:53:06, 53.192089, -4.220369, 30.72,  51156.00, 23, 0, 14.75, 1
2017/11/16, 14:53:07, 53.192108, -4.220128, 31.58,  48060.00, 35, 0, 16.19, 1
2017/11/16, 14:53:08, 53.192081, -4.219856, 32.70,  47556.00, 49, 0, 18.37, 1
2017/11/16, 14:53:09, 53.192017, -4.219559, 33.93,  51840.00, 66, 0, 21.03, 1
2017/11/16, 14:53:10, 53.191994, -4.219279, 35.12,  57888.00, 80, 0, 18.83, 1
2017/11/16, 14:53:11, 53.191998, -4.219011, 35.89,  57276.00, 79, 0, 17.86, 1
2017/11/16, 14:53:12, 53.192017, -4.218768, 36.92,  53568.00, 78, 0, 16.33, 1
2017/11/16, 14:53:13, 53.192043, -4.218557, 38.23,  50256.00, 78, 0, 14.35, 1
2017/11/16, 14:53:14, 53.192097, -4.218387, 39.34,  47952.00, 75, 0, 12.82, 1
2017/11/16, 14:53:15, 53.192188, -4.218266, 40.14,  44460.00, 67, 0, 12.94, 1
2017/11/16, 14:53:16, 53.192299, -4.218151, 40.88,  47700.00, 55, 0, 14.53, 1
2017/11/16, 14:53:17, 53.192429, -4.218014, 41.35,  54792.00, 46, 0, 17.10, 1
2017/11/16, 14:53:18, 53.192616, -4.217929, 37.55,  55908.00, 41, 0, 21.55, 1
2017/11/16, 14:53:19, 53.192757, -4.217779, 37.50,  57456.00, 40, 0, 18.59, 1
2017/11/16, 14:53:20, 53.192879, -4.217620, 38.43,  57348.00, 40, 0, 17.21, 1
2017/11/16, 14:53:21, 53.193001, -4.217468, 39.42,  55836.00, 39, 0, 16.93, 1
